[ 2023-01-02 18:51:25,593 ] 10 root - INFO - Reading Data from Database: aps and collection: sensor
[ 2023-01-02 18:51:28,972 ] 12 root - INFO - Found columns: Index(['_id', 'class', 'aa_000', 'ab_000', 'ac_000', 'ad_000', 'ae_000',
       'af_000', 'ag_000', 'ag_001',
       ...
       'ee_002', 'ee_003', 'ee_004', 'ee_005', 'ee_006', 'ee_007', 'ee_008',
       'ee_009', 'ef_000', 'eg_000'],
      dtype='object', length=172)
[ 2023-01-02 18:51:29,195 ] 15 root - INFO - Row and columns
[ 2023-01-02 18:51:29,195 ] 26 root - INFO - Save data in feature store
[ 2023-01-02 18:51:29,741 ] 30 root - INFO - Create feature store folder if not available
[ 2023-01-02 18:51:29,742 ] 33 root - INFO - Save df to feature store folder
[ 2023-01-02 18:51:32,229 ] 38 root - INFO - split dataset into train and test set
[ 2023-01-02 18:51:32,908 ] 42 root - INFO - create dataset directory folder if not available
[ 2023-01-02 18:51:32,908 ] 47 root - INFO - Save df to feature store folder
[ 2023-01-02 18:51:35,228 ] 57 root - INFO - Data ingestion artifact: DataIngestionArtifact(feature_store_file_path='/config/workspace/artifact/010223__185125/data_ingestion/feature_store/sensor.csv', train_file_path='/config/workspace/artifact/010223__185125/data_ingestion/dataset/train.csv', test_file_path='/config/workspace/artifact/010223__185125/data_ingestion/dataset/test.csv')
[ 2023-01-02 18:51:35,703 ] 17 root - INFO - >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Validation >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[ 2023-01-02 18:51:35,703 ] 109 root - INFO - Reading base dataframe
[ 2023-01-02 18:51:37,376 ] 112 root - INFO - Replace na value in base df
[ 2023-01-02 18:51:38,721 ] 116 root - INFO - Drop null values colums from base df
[ 2023-01-02 18:51:39,786 ] 119 root - INFO - Reading train dataframe
[ 2023-01-02 18:51:40,192 ] 121 root - INFO - Reading test dataframe
[ 2023-01-02 18:51:40,306 ] 124 root - INFO - Drop null values colums from train df
[ 2023-01-02 18:51:40,327 ] 126 root - INFO - Drop null values colums from test df
[ 2023-01-02 18:51:47,512 ] 135 root - INFO - Is all required columns present in train df
[ 2023-01-02 18:51:47,512 ] 137 root - INFO - Is all required columns present in test df
[ 2023-01-02 18:51:47,513 ] 141 root - INFO - As all column are available in train df hence detecting data drift
[ 2023-01-02 18:51:47,513 ] 83 root - INFO - base column name: class
[ 2023-01-02 18:51:47,619 ] 83 root - INFO - base column name: aa_000
[ 2023-01-02 18:51:47,664 ] 83 root - INFO - base column name: ac_000
[ 2023-01-02 18:51:47,672 ] 83 root - INFO - base column name: ad_000
[ 2023-01-02 18:51:47,713 ] 83 root - INFO - base column name: ae_000
[ 2023-01-02 18:51:47,750 ] 83 root - INFO - base column name: af_000
[ 2023-01-02 18:51:47,786 ] 83 root - INFO - base column name: ag_000
[ 2023-01-02 18:51:47,823 ] 83 root - INFO - base column name: ag_001
[ 2023-01-02 18:51:47,859 ] 83 root - INFO - base column name: ag_002
[ 2023-01-02 18:51:47,895 ] 83 root - INFO - base column name: ag_003
[ 2023-01-02 18:51:47,934 ] 83 root - INFO - base column name: ag_004
[ 2023-01-02 18:51:47,977 ] 83 root - INFO - base column name: ag_005
[ 2023-01-02 18:51:48,023 ] 83 root - INFO - base column name: ag_006
[ 2023-01-02 18:51:48,068 ] 83 root - INFO - base column name: ag_007
[ 2023-01-02 18:51:48,077 ] 83 root - INFO - base column name: ag_008
[ 2023-01-02 18:51:48,086 ] 83 root - INFO - base column name: ag_009
[ 2023-01-02 18:51:48,126 ] 83 root - INFO - base column name: ah_000
[ 2023-01-02 18:51:48,169 ] 83 root - INFO - base column name: ai_000
[ 2023-01-02 18:51:48,207 ] 83 root - INFO - base column name: aj_000
[ 2023-01-02 18:51:48,245 ] 83 root - INFO - base column name: ak_000
[ 2023-01-02 18:51:48,282 ] 83 root - INFO - base column name: al_000
[ 2023-01-02 18:51:48,323 ] 83 root - INFO - base column name: am_0
[ 2023-01-02 18:51:48,367 ] 83 root - INFO - base column name: an_000
[ 2023-01-02 18:51:48,413 ] 83 root - INFO - base column name: ao_000
[ 2023-01-02 18:51:48,457 ] 83 root - INFO - base column name: ap_000
[ 2023-01-02 18:51:48,500 ] 83 root - INFO - base column name: aq_000
[ 2023-01-02 18:51:48,544 ] 83 root - INFO - base column name: ar_000
[ 2023-01-02 18:51:48,581 ] 83 root - INFO - base column name: as_000
[ 2023-01-02 18:51:48,618 ] 83 root - INFO - base column name: at_000
[ 2023-01-02 18:51:48,655 ] 83 root - INFO - base column name: au_000
[ 2023-01-02 18:51:48,691 ] 83 root - INFO - base column name: av_000
[ 2023-01-02 18:51:48,700 ] 83 root - INFO - base column name: ax_000
[ 2023-01-02 18:51:48,708 ] 83 root - INFO - base column name: ay_000
[ 2023-01-02 18:51:48,744 ] 83 root - INFO - base column name: ay_001
[ 2023-01-02 18:51:48,780 ] 83 root - INFO - base column name: ay_002
[ 2023-01-02 18:51:48,816 ] 83 root - INFO - base column name: ay_003
[ 2023-01-02 18:51:48,853 ] 83 root - INFO - base column name: ay_004
[ 2023-01-02 18:51:48,890 ] 83 root - INFO - base column name: ay_005
[ 2023-01-02 18:51:48,898 ] 83 root - INFO - base column name: ay_006
[ 2023-01-02 18:51:48,941 ] 83 root - INFO - base column name: ay_007
[ 2023-01-02 18:51:48,984 ] 83 root - INFO - base column name: ay_008
[ 2023-01-02 18:51:48,994 ] 83 root - INFO - base column name: ay_009
[ 2023-01-02 18:51:49,030 ] 83 root - INFO - base column name: az_000
[ 2023-01-02 18:51:49,073 ] 83 root - INFO - base column name: az_001
[ 2023-01-02 18:51:49,115 ] 83 root - INFO - base column name: az_002
[ 2023-01-02 18:51:49,158 ] 83 root - INFO - base column name: az_003
[ 2023-01-02 18:51:49,201 ] 83 root - INFO - base column name: az_004
[ 2023-01-02 18:51:49,243 ] 83 root - INFO - base column name: az_005
